id,name,parent_id
1107,Aschaffenburg,7974
1108,Aschersleben,7974
1109,Ascot,24246
1110,Asela,6955
1111,Asenovgrad,3401
1112,Ash Shatrah,10193
1113,Ash Shaykh `Uthman,26302
1114,Ash Shihaniyah,18886
1115,Ash Shihr,26302
1116,Ash Vale,24246
1117,Asha,19881
1118,Ashbourne,24246
1119,Ashburn,24247
1120,Ashburnham,24247
1121,Ashby de la Zouch,24246
1122,Ashdod,10271
1123,Asheboro,24247
1124,Asheville,24247
1125,Ashfield-Colborne-Wawanosh,3794
1126,Ashford,24246
1128,Ashgabat,24042
1129,Ashibetsu,10483
1130,Ashington,24246
1131,Ashino,10483
1132,Ashiya,10483
1133,Ashland,24247
1142,Ashoro,10483
1143,Ashqelon,10271
1144,Ashtabula,24247
1145,Ashtarak,1024
1146,Ashtead,24246
1147,Ashton,24246
1149,Ashton in Makerfield,24246
1150,Ashton-Sandy Spring,24247
1151,Ashville,24247
1152,Ashwaubenon,24247
1153,Asino,19881
1154,Asipovichy,2124
1155,Askern,24246
1156,Asmara,6857
1157,Asni,15216
1158,Asosa,6955
1159,Aspen,24247
1160,Aspen Hill,24247
1161,Asperg,7974
1162,Assab,6857
1163,Assen,15921
1164,Assis,3060
1165,Asslar,7974
1166,Assomada,3588
1167,Astara,1366
1168,Asti,10293
1169,Astley,24246
1170,Aston,24247
1171,Astoria,24247
1172,Astrakhan,19881
1173,Astravyets,2124
1174,Asuncion,17557
1175,Asuncion Nochixtlan,14593
1176,Aswan,6575
1177,Asyut,6575
1178,Aszod,9842
1179,At Ta'if,20833
1180,At Tafilah,10698
1181,At Tall,22798
1182,At Tur,6575
1183,At Turrah,10698
1184,At-Bashy,12200
1185,Atacames,6514
1186,Atakpame,23613
1187,Atami,10483
1188,Atamyrat,24042
1189,Atar,14294
1190,Atascadero,24247
1191,Atascocita,24247
1192,Atasu,11194
1193,Atbara,22532
1194,Atbasar,11194
1195,Atchison,24247
1196,Atenco,14593
1197,Ath Thawrah,22798
1198,Athens,8422
1204,Atherstone,24246
1205,Atherton,24246
1208,Athi River,11301
1209,Athis-Mons,7492
1210,Athol,24247
1211,Ati,4194
1212,Atibaia,3060
1213,Atitalaquia,14593
1214,Atkarsk,19881
1215,Atkinson,24247
1216,Atlanta,24247
1218,Atlantic,24247
1219,Atlantic Beach,24247
1220,Atlantic City,24247
1221,Atlantida,24331
1222,Atlapexco,14593
1223,Atlatlahucan,14593
1224,Atlautla,14593
1225,Atmore,24247
1226,Atoka,24247
1227,Atotonilco de Tula,14593
1228,Atoyac de Alvarez,14593
1229,Atsugicho,10483
1230,Attalla,24247
1231,Attapu,12583
1232,Attard,13843
1233,Attendorn,7974
1234,Attica,24247
1236,Attleboro,24247
1237,Attnang-Puchheim,1292
1238,Atuntaqui,6514
1239,Atwater,24247
1240,Atyrau,11194
1241,Aubagne,7492
1242,Aubange,2143
1243,Aubervilliers,7492
1244,Aubrey,24247
1245,Auburn,24247
1254,Auburn Hills,24247
1255,Auburndale,24247
1256,Auce,12643
1257,Auch,7492
1258,Auckland,16079
1259,Audley,24246
1260,Audubon,24247
1262,Aue,7974
1263,Auerbach,7974
1265,Aughton,24246
1266,Augsburg,7974
1267,August,24247
1268,Augusta,24247
1272,Auki,21846
1273,Aulendorf,7974
1274,Aulnay-sous-Bois,7492
1275,Aurangabad,10093
1277,Aurich,7974
1278,Auriflama,3060
1279,Aurillac,7492
1280,Aurora,24247
1286,Austell,24247
1287,Austin,24247
1289,Austintown,24247
1290,Australia,0
1291,Australind,1290
1292,Austria,0
1293,Autlan de Navarro,14593
1294,Auxerre,7492
1295,Avai,3060
1296,Avanhandava,3060
1297,Avare,3060
1298,Avarua,5125
1299,Avdiivka,24174
1300,Aveiro,18509
1301,Aveley,24246
1302,Avellaneda,985
1303,Avenal,24247
1304,Avenel,24247
1305,Aventura,24247
1306,Aver-o-Mar,18509
1307,Avigliano,10293
1308,Avignon,7492
1309,Avila,22090
1310,Aviles,22090
1311,Avocado Heights,24247
1312,Avon,24247
1317,Avon Lake,24247
1318,Avon Park,24247
1319,Avondale,24247
1320,Avra Valley,24247
1321,Avrig,19663
1322,Awara,10483
1323,Awasa,6955
1324,Awbari,12971
1325,Aweil,22027
1326,Awjilah,12971
1327,Awka,16200
1328,Axapusco,14593
1329,Axminster,24246
1330,Aya,10483
1331,Ayabe,10483
1332,Ayacucho,17894
1333,Ayagoz,11194
1334,Ayan,19881
1335,Ayancik,24038
1336,Ayapango,14593
1337,Ayapel,4987
1338,Ayaviri,17894
1339,Aydarken,12200
1340,Ayden,24247
1341,Aydin,24038
1342,Aydincik,24038
1343,Ayer,24247
1344,Aylesbury,24246
1345,Aylesford,24246
1346,Aylestone,24246
1347,Aylmer,3794
1348,Aylsham,24246
1349,Ayorou,16199
